gene	betweenness	eigenvector
BNIP3L	81.000000	0.002034
ACVR2A	134.000000	0.001084
PUM2	38.000000	0.009149
SERPINB6	8.000000	0.005411
GNAL	2.000000	0.002425
FGA	1.000000	0.004521
TLR7	0.000000	0.000125
LAMP1	323.000000	0.023536
HEG1	4.500000	0.000898
PTPRS	54.000000	0.004610
CTU1	13.000000	0.002179
CTU2	90.000000	0.003473
CR2	62.000000	0.000585
LZTS2	1118.833333	0.013415
SPEN	103.000000	0.010445
IRS2	0.000000	0.007299
CNR1	0.000000	0.000173
CGN	857.000000	0.008139
ARHGEF18	5.000000	0.003011
CKS1B	43.500000	0.002820
SKP2	913.000000	0.011366
TLR6	4.000000	0.000241
RHBDF1	33.000000	0.001699
FRMD8	1.000000	0.001025
CDKN1B	1715.500000	0.007046
MAG	0.000000	0.000938
CCL26	39.000000	0.000518
MKNK2	6.000000	0.001928
STIM1	103.000000	0.018188
NR5A2	5.000000	0.001453
VTN	424.500000	0.010067
CCL21	1.000000	0.000295
CCR7	0.000000	0.000462
TGFBR2	437.500000	0.007134
HRH1	0.000000	0.000628
CHMP5	330.000000	0.007156
CD79A	479.500000	0.003088
LIF	0.000000	0.000128
RSAD2	215.000000	0.000641
FDPS	20.000000	0.011710
GDF15	2.000000	0.001897
CFTR	7504.000000	0.056246
GNRH1	0.000000	0.000441
PDCD10	460.000000	0.005118
SEMA7A	6.000000	0.000519
PNOC	0.000000	0.000497
OGFR	0.000000	0.006745
LRRC32	0.000000	0.001012
PEX7	0.000000	0.001731
PLA2G6	4.000000	0.001898
VIP	0.000000	0.000545
VIPR1	403.500000	0.004272
NR0B2	1.000000	0.002752
SLCO1B1	5.000000	0.000975
PCK1	1.000000	0.006441
YAP1	6574.500000	0.046318
PTGER2	0.000000	0.000080
PBX1	140.500000	0.002716
CCR2	63.000000	0.000709
RAPGEF5	0.000000	0.000802
CD48	2.000000	0.000881
ELMO1	37.500000	0.002130
PARK7	1736.500000	0.018283
CIDEB	61.500000	0.001484
PIK3C3	469.000000	0.007829
GNG12	113.000000	0.005932
LRFN5	0.000000	0.000040
GLDN	0.000000	0.000000
NRCAM	4.000000	0.003211
FSHR	0.000000	0.000294
HSD3B1	0.000000	0.000815
VAMP8	84.000000	0.004632
S1PR2	11.000000	0.000790
TNFSF18	11.000000	0.000759
TNFRSF18	0.000000	0.000403
MYLIP	0.000000	0.001347
IL13RA1	9.000000	0.000408
FOSL1	0.000000	0.002514
RAB33B	40.000000	0.001612
MPO	21.000000	0.001788
LDHAL6A	0.000000	0.002558
GRAP2	22.500000	0.003016
BCL10	40.000000	0.002425
ASAP1	347.000000	0.004837
PSTPIP1	3.000000	0.003500
PLCD3	53.500000	0.005227
NAIP	0.000000	0.000411
ATP6AP1	354.000000	0.006228
GHSR	0.000000	0.000134
ADCY2	0.000000	0.000498
TNFSF14	12.000000	0.002025
TNFRSF14	2.000000	0.001019
CXADR	171.000000	0.013900
PCYT1A	107.000000	0.004743
CCL28	67.000000	0.000157
RHO	0.000000	0.000234
GNAT1	0.000000	0.000065
SLAMF7	3.000000	0.000564
SIPA1L1	3.000000	0.008775
CTSS	3.000000	0.005206
SPN	106.000000	0.002538
SIGLEC1	0.000000	0.000718
PENK	0.000000	0.000232
PFKFB1	0.000000	0.001462
GPHN	50.000000	0.007269
SLC44A3	0.000000	0.001846
RUNX3	9055.000000	0.003213
MAX	21.000000	0.009403
NACA2	0.000000	0.001091
DAAM1	166.000000	0.003346
ADCY6	22.000000	0.001314
SSTR1	0.000000	0.000491
CD79B	190.000000	0.002851
BMP2	1.000000	0.000286
LRP2	46.000000	0.003820
NSF	17.000000	0.017312
ATM	1191.500000	0.015722
PPP1R15A	0.000000	0.002915
MAPK8IP2	381.500000	0.001624
MAP4K1	35.000000	0.005766
INVS	0.000000	0.001414
ADAR	27.000000	0.023590
CCL24	3.000000	0.000233
CLEC1B	0.000000	0.000400
RGS9	48.500000	0.000676
TOPBP1	884.500000	0.032056
VAMP2	8.500000	0.008874
SENP2	43.000000	0.009381
DFFA	18.000000	0.005051
CCL22	21.000000	0.000918
CCR4	119.000000	0.000728
RXFP3	0.000000	0.001021
IRF8	0.000000	0.003066
PDCD1LG2	90.000000	0.000408
SORBS1	15.500000	0.004729
ABLIM3	1.000000	0.001335
HSF1	2183.500000	0.030668
HBS1L	21.000000	0.012108
PELO	139.000000	0.012347
BOC	0.000000	0.000545
S1PR3	0.000000	0.000007
FPR1	128.500000	0.002295
CLP1	0.000000	0.005358
PCF11	1.000000	0.009375
CITED2	0.000000	0.000911
PTPRB	0.000000	0.001113
DOCK4	173.500000	0.005689
