gene	log2FC	pvalue	FDR
KGFLP2	-0.09499920451035049	0.24341559560704923	0.3038291826182854
MGRN1	0.2239814952116177	1.3477238067061078e-06	4.269035946162046e-06
TCP1	0.3416875270312154	2.5283853747156347e-10	1.4958351797718846e-09
CRTAP	-0.5559486484399176	1.5478660413345443e-13	1.7596452026384757e-12
CBLC	1.0103717253629831	1.1136938084330288e-11	8.428445018230241e-11
SPHK1	0.3426812171764029	0.001325646158942782	0.002588415820228199
DPT	-2.201526753166519	1.5627363458268936e-14	2.2028299100449648e-13
BPESC1	0.05919674853259191	0.034329000508170164	0.05215819621456639
CUEDC1	-0.36254673308618734	1.844937396013445e-05	4.861973719659098e-05
CUEDC2	0.23366043404387682	1.3446526747979048e-05	3.628025141435857e-05
CBLB	0.11853408248377839	0.017845184471038177	0.02873206886388784
CPEB4	-0.6023963546493718	6.602816397693467e-10	3.6078134042298944e-09
CPEB1	-1.8931451343836918	2.078941648169092e-16	4.555229401673728e-15
ZNF45	-0.13147656780969985	0.0031543972590968457	0.005785013400584631
CPEB3	-0.10158884769848164	0.12364271961788338	0.16721616187246846
CPEB2	-0.4372196014828642	3.128691681967388e-08	1.2855433345792657e-07
BEGAIN	-0.8799929796107522	3.869503711991492e-14	5.018349205480136e-13
RBMXL3	0.0008040855730614832	0.9734028187182306	0.9917448048963843
OSGEP	-0.057704309545865584	0.23606510792632804	0.29591183309611685
ABAT	0.377393064565938	0.022748481271896763	0.03580456110977176
LOC100129637	0.13088212079085437	0.09752818823744307	0.13483981072406756
ZNF780A	0.061921354649356886	0.28116717243861417	0.34531866087273805
ZNF780B	-0.09503939604572409	0.09086460156674442	0.12684861783267545
TLN2	0.26683968952734816	0.00660378506444548	0.011483189772862957
FRG1	-0.053602633611365746	0.20516546950194667	0.26152220531869064
FRG2	0.013468597466790237	0.46168897851406077	0.5301812995024104
RHEBL1	0.4648623802903913	0.00018623333628908372	0.00041852437940234947
ZNF41	-0.28212503861600613	1.1433925529779016e-05	3.119856958514646e-05
IFT80	-0.16719583719494402	0.018370962261608937	0.029499943537110804
FBRS	0.10386491350015525	0.03301424185566754	0.050336529249073336
ZNF414	0.41799107970342675	4.125819743443681e-12	3.430712239613307e-11
IFT88	0.02745694315724556	0.5554849426941841	0.6189726286080162
IL10RA	0.09562108433734284	0.5565874553981449	0.6199008470247017
POU5F1B	1.2618076227988917	5.869271613281016e-15	9.144641644099428e-14
SP1	-0.23613963546492833	1.4727857426716133e-07	5.422166480811346e-07
SLC27A4	0.826365894346619	4.6051718760085114e-23	5.324362547708565e-21
SP2	-0.14711617238183905	0.00045182701017748046	0.0009533014844901685
OLA1	0.3507997219647798	8.199920101834845e-08	3.1496469493666226e-07
PNOC	-0.04192798115539076	0.8110449831731408	0.8527074467568632
CNTF	-0.12028442230460579	0.3205375747420073	0.3854937935578244
MCM10	1.0441923694779098	2.404202702213143e-07	8.576998590799407e-07
PDIA5	0.8849098702502278	4.6166177386255876e-10	2.606410471864046e-09
SP4	-0.41951943157244287	8.995346223608234e-07	2.9173805657467704e-06
TMEM38B	-0.35690805529811254	2.1764709990078073e-06	6.66682266550644e-06
THUMPD3	0.050089357429721204	0.1784279054741008	0.2312371186134662
