gene	betweenness_norm	eigenvector_norm	betweenness_tumor	eigenvector_tumor	diff_betweenness	diff_eigenvector	rank_bet	rank_eig	ensemble_score	final_rank	delta_betweenness	delta_eigenvector
RPS10	3463.666667	0.034615	2189.0	0.031567	1274.666667	0.003048000000000002	0.9643973214285714	0.9832589285714286	0.9482522769850127	124	-1274.666667	-0.003048000000000002
HSPA8	1374.5	0.098434	3053.0	0.095945	1678.5	0.0024889999999999912	0.9733258928571429	0.9739955357142858	0.9480150744379784	125	1678.5	-0.0024889999999999912
FGFR1	2952.0	0.017749	1632.5	0.020633	1319.5	0.0028839999999999977	0.9665178571428571	0.9806919642857143	0.9478562958386478	126	-1319.5	0.0028839999999999977
CHD4	2268.5	0.051705	780.5	0.05432	1488.0	0.0026149999999999993	0.9702008928571428	0.9762276785714286	0.9471369653818559	127	-1488.0	0.0026149999999999993
VAPA	922.0	0.02861	53.0	0.033316	869.0	0.004705999999999998	0.9526785714285714	0.9940848214285715	0.947043307557398	128	-869.0	0.004705999999999998
TCP1	1092.5	0.031785	279.0	0.037521	813.5	0.005735999999999998	0.9494419642857143	0.9966517857142857	0.9462630291374362	129	-813.5	0.005735999999999998
LSR	5318.833333	0.007615	44.0	0.009339	5274.833333	0.0017239999999999998	0.99453125	0.9512834821428572	0.9460811505998884	130	-5274.833333	0.0017239999999999998
RAB4A	1077.5	0.015411	7.0	0.018797	1070.5	0.003386000000000002	0.9588169642857143	0.9864955357142857	0.9458686548349808	131	-1070.5	0.003386000000000002
CHMP4B	1208.0	0.038973	2330.0	0.035867	1122.0	0.0031059999999999977	0.9606026785714286	0.9838169642857143	0.9450572111168686	132	1122.0	-0.0031059999999999977
SP1	988.0	0.0185	4037.833333	0.016665	3049.833333	0.0018349999999999998	0.9878348214285714	0.9565848214285714	0.9449477962571746	133	3049.833333	-0.0018349999999999998
ZC3H14	360.5	0.016443	1433.0	0.013195	1072.5	0.003247999999999999	0.958984375	0.98515625	0.9447494506835937	134	1072.5	-0.003247999999999999
