gene	betweenness_norm	eigenvector_norm	betweenness_tumor	eigenvector_tumor	diff_betweenness	diff_eigenvector	rank_bet	rank_eig	ensemble_score	final_rank	delta_betweenness	delta_eigenvector
USP9X	3939.0	0.02418	8599.666667	0.021063	4660.6666669999995	0.0031170000000000017	0.99375	0.9840401785714286	0.9778899274553572	38	4660.6666669999995	-0.0031170000000000017
DHX9	407.0	0.048463	2623.0	0.042704	2216.0	0.005759	0.9809151785714286	0.996875	0.9778498186383928	39	2216.0	-0.005759
DDRGK1	19878.0	0.059093	1788.0	0.056363	18090.0	0.0027299999999999963	0.9991071428571429	0.978125	0.9772516741071429	40	-18090.0	-0.0027299999999999963
FUBP1	183.0	0.027749	2198.5	0.021963	2015.5	0.0057859999999999995	0.9791294642857142	0.9969866071428571	0.9761789625518176	41	2015.5	-0.0057859999999999995
SKP1	7655.0	0.023995	341.5	0.026743	7313.5	0.0027480000000000004	0.9974330357142858	0.9783482142857143	0.9758368293606505	42	-7313.5	0.0027480000000000004
SND1	4974.0	0.027286	152.5	0.030176	4821.5	0.00289	0.9940848214285715	0.9809151785714286	0.975112890126754	43	-4821.5	0.00289
SFN	6584.0	0.031224	313.0	0.033993	6271.0	0.002769000000000004	0.9962053571428572	0.9787946428571429	0.9750804667570154	44	-6271.0	0.002769000000000004
POR	6996.0	0.011479	165.0	0.014181	6831.0	0.0027019999999999995	0.9970982142857143	0.9774553571428571	0.974618991151148	45	-6831.0	0.0027019999999999995
STX7	3680.666667	0.019479	560.5	0.022746	3120.166667	0.003266999999999999	0.9886160714285714	0.9853794642857143	0.9741619748485332	46	-3120.166667	0.003266999999999999
CCNT1	1257.0	0.016562	6827.0	0.013797	5570.0	0.002765	0.9953125	0.9786830357142857	0.974095458984375	47	5570.0	-0.002765
CUL1	3307.5	0.043385	716.0	0.047025	2591.5	0.0036399999999999974	0.9850446428571429	0.98828125	0.9735011509486607	48	-2591.5	0.0036399999999999974
VHL	1207.0	0.023337	3761.5	0.019764	2554.5	0.003573	0.9845982142857143	0.9879464285714286	0.9727302893813775	49	2554.5	-0.003573
LMNA	1441.0	0.055054	9269.0	0.052552	7828.0	0.0025019999999999973	0.9978794642857143	0.97421875	0.9721528843470982	50	7828.0	-0.0025019999999999973
HEXIM1	2358.833333	0.053131	502.0	0.057943	1856.833333	0.004812000000000004	0.9766741071428572	0.9943080357142857	0.9711149130062181	51	-1856.833333	0.004812000000000004
JUP	2816.833333	0.028847	309.5	0.032272	2507.333333	0.003425000000000001	0.9839285714285714	0.9869419642857142	0.9710803970025509	52	-2507.333333	0.003425000000000001
BAG2	1852.5	0.031139	19.5	0.036065	1833.0	0.004926	0.9760044642857143	0.9948660714285714	0.970993727080676	53	-1833.0	0.004926
CD2BP2	459.5	0.018475	2963.0	0.015094	2503.5	0.0033809999999999986	0.9838169642857143	0.9862723214285715	0.9703114412268814	54	2503.5	-0.0033809999999999986
ATP1A1	1837.0	0.034429	52.0	0.039335	1785.0	0.004906000000000001	0.9751116071428572	0.9947544642857142	0.9699966243821747	55	-1785.0	0.004906000000000001
SNRPD2	6165.233333	0.029908	9200.833333	0.026993	3035.6000000000004	0.002915000000000001	0.9879464285714286	0.9813616071428571	0.969532694913903	56	3035.6000000000004	-0.002915000000000001
HSP90B1	4049.5	0.036364	930.5	0.039245	3119.0	0.0028810000000000016	0.9885044642857143	0.9805803571428572	0.9693080606265944	57	-3119.0	0.0028810000000000016
SMC5	3291.0	0.047843	4840.166667	0.042084	1549.1666670000004	0.005758999999999993	0.9720982142857143	0.9967633928571429	0.9689519142617985	58	1549.1666670000004	-0.005758999999999993
ST7	2901.5	0.008072	35.0	0.011	2866.5	0.002928	0.9868303571428572	0.9816964285714286	0.9687678372130102	59	-2866.5	0.002928
SNRNP200	5290.5	0.030974	1585.833333	0.028289	3704.666667	0.002685	0.9907366071428572	0.9771205357142857	0.9680690843231824	60	-3704.666667	-0.002685
MAPT	1935.5	0.042263	202.0	0.046823	1733.5	0.004559999999999995	0.9746651785714285	0.9931919642857143	0.9680296232262436	61	-1733.5	0.004559999999999995
RIN3	5817.5	0.020502	2406.5	0.023188	3411.0	0.002686000000000001	0.98984375	0.9772321428571429	0.96730712890625	62	-3411.0	0.002686000000000001
ADNP	28.0	0.017303	2569.5	0.01431	2541.5	0.002992999999999999	0.9842633928571428	0.9825892857142857	0.9671266641422194	63	2541.5	-0.002992999999999999
